단어,수
것들이,14
국민만,14
국회의원들,14
권력을,14
그럴,14
극우,14
깨끗한,14
나라로,14
나와,14
노,14
놓고,14
답을,14
답입니다,14
당에,14
당에서,14
당원,14
대단하다,14
대통령도,14
되는데,14
따로,14
마음을,14
막아야,14
매우,14
민주주의,14
믿음이,14
받아,14
받아야,14
발언,14
보여,14
보여주세요,14
보입니다,14
사기,14
사람이다,14
사실,14
성공을,14
세상,14
스마트한,14
시켜야,14
싶습니다,14
아닌가요,14
아무도,14
알아야,14
앞으로도,14
에,14
예산,14
유일한,14
윤과,14
이럴,14
이루어,14
이리,14
인터뷰,14
있다면,14
자격,14
정도면,14
정부가,14
정부의,14
정의가,14
정의로운,14
정치인은,14
정확하게,14
제가,14
주면,14
줘야,14
즉각,14
지금의,14
지지자들,14
지켜,14
찍은,14
차리고,14
척,14
출신,14
치는,14
탄핵에,14
탄핵해,14
판사,14
하늘이,14
한국의,14
한다면,14
혼자,14
훌륭하십니다,14
힘들게,14
1년,13
2,13
갈라치기,13
거짓말,13
검찰이,13
계셔서,13
과,13
구청장,13
국민의힘과,13
그대로,13
길을,13
김건희가,13
김기현대표,13
낫다,13
내년에,13
내는,13
내려,13
놈,13
놈이,13
니가,13
답변,13
당하고,13
당한,13
대로,13
대통령의,13
대표는,13
더이상,13
데,13
되어서,13
땅,13
떠나서,13
똑같이,13
막고,13
멋집니다,13
모르고,13
문제다,13
물론,13
믿는다,13
믿을,13
믿지,13
밀고,13
바보로,13
백,13
법과,13
봄,13
부탁합니다,13
빕니다,13
뿐이다,13
석열,13
소리를,13
속은,13
손,13
손잡고,13
수사를,13
수준이,13
승리합니다,13
심판합시다,13
씨는,13
아웃,13
압도적으로,13
애들,13
얼굴,13
없을,13
여전히,13
역대급,13
영원히,13
예의,13
완전히,13
용산,13
우리나라의,13
원내,13
원합니다,13
윤서,13
윤석열대통령,13
응원합니다^^,13
인간들이,13
인기가,13
인사,13
일단,13
임기,13
자신이,13
잘못을,13
잡범,13
적이,13
전쟁,13
정도로,13
조사,13
죄가,13
주시기,13
주십시요,13
죽을,13
지도부는,13
지켜야,13
지켜주세요,13
직접,13
집,13
찍는,13
책임이,13
총선까지,13
총선도,13
충분히,13
평생,13
하는게,13
하셔서,13
하셔야,13
한동훈부터,13
한동훈의,13
했다고,13
행동,13
혁신,13
훨씬,13
힘내십시오,13
🇰🇷,13
1도,12
21대,12
가지,12
감사,12
갑자기,12
갖고,12
개가,12
개혁,12
거부권,12
것이고,12
공약,12
구속하라,12
국민의힘당은,12
국민의힘에서,12
국방부장관,12
국정,12
국힘으로,12
그건,12
그리,12
기회를,12
김기현은,12
김포,12
꼴이,12
나가,12
나경원,12
나면,12
나온,12
난다,12
내년총선,12
너희들은,12
눈이,12
눈치,12
되셔서,12
된다는,12
든다,12
때마다,12
때문이다,12
똥,12
룬,12
마지막,12
마치,12
망할,12
매번,12
모르겠다,12
무시하고,12
문제를,12
박,12
받은,12
밥,12
버리고,12
변하지,12
보내세요,12
보수라고,12
본인은,12
분입니다,12
사건,12
사과,12
사랑해요,12
생각하고,12
선거때,12
선거에,12
성,12
세상을,12
싫어요,12
아예,12
악을,12
안될,12
압수수색,12
앞에,12
어휴,12
없나,12
여러,12
위원장,12
유튜브,12
윤정건,12
응,12
이딴,12
이유는,12
이익을,12
이재명이,12
인기,12
자가,12
정권의,12
정부와,12
지겹다,12
찍을,12
총,12
타고,12
투표는,12
팩트로,12
하나로,12
하려고,12
하십니다,12
하십시요,12
하지말고,12
했던,12
3사단,11
ㅡㅡ,11
가세요,11
간신배,11
강남,11
개인,11
거부,11
것처럼,11
경찰,11
공감합니다,11
괜히,11
국가가,11
국민들도,11
국민에,11
국민의힘도,11
금지,11
기원,11
기현,11
길이다,11
김기현이,11
나가라,11
나와라,11
논리적이고,11
뇌가,11
님이,11
다운,11
단식,11
당하지,11
대통령까지,11
대표의,11
대한민국에서,11
더불어민주당을,11
더불어민주당의,11
되길,11
된다고,11
때까지,11
떠나,11
또다시,11
만큼,11
많고,11
말로,11
말씀입니다,11
맙시다,11
매일,11
멍청한,11
못한다,11
무도한,11
바람,11
바르고,11
박수를,11
반대하는,11
방사능,11
법,11
보임,11
부정,11
비겁한,11
사이다,11
사퇴해라,11
살,11
서,11
서울로,11
세상이,11
속고,11
수준,11
승리로,11
시민들,11
시켜라,11
십니다,11
싶어,11
안돼,11
않게,11
압도적인,11
압승,11
어리석은,11
없네요,11
여기,11
여당은,11
여야,11
역사에,11
역할을,11
우리나라가,11
우습게,11
위험하다,11
윤성열,11
윤정부,11
이걸,11
이러다,11
이번에는,11
이준석한테,11
일본에,11
일은,11
입으로,11
있지만,11
자격이,11
자리에,11
잘해라,11
저리,11
정,11
정권에,11
정치검사,11
정확한,11
존경,11
존나,11
주가조작,11
중심으로,11
중책,11
지지할,11
짝짝짝,11
쭈욱,11
찍고,11
차고,11
참사,11
쳐,11
총선때,11
총선이,11
최고이십니다,11
최곱니다,11
친일,11
탄,11
탄핵만이,11
탄핵하자,11
통하는,11
필요가,11
하나가,11
하네요,11
하든,11
할지,11
행복합니다,11
험지,11
혈세,11
흔들리지,11
힘들다,11
힘으로,11
