단어,수
함께하겠습니다,25
행동하는,25
힘내서,25
힘내십시요,25
간다,24
국민들과,24
국회의장,24
그대로,24
그러면,24
기분,24
노무현,24
당신들,24
당신들은,24
당이,24
대표도,24
말라,24
먹는,24
믿지,24
서민,24
서울,24
설훈,24
싸워서,24
아닌가요,24
아무도,24
없는데,24
없음,24
오히려,24
용주야,24
우린,24
유일한,24
이거,24
이기는,24
자격이,24
잘못된,24
잘해라,24
전해철,24
지지자들이,24
지키고,24
집에,24
책임을,24
총,24
총선을,24
하나가,24
했으면,24
ㅎㅎㅎ,23
감방,23
거짓말,23
건강하게,23
고생이,23
그러니,23
길,23
김대중,23
나와서,23
누구,23
뉴스,23
느껴집니다,23
단식이,23
당신의,23
대통령으로,23
드디어,23
든든한,23
마,23
만들어주세요,23
묻고,23
물,23
박수,23
방송,23
방탄,23
속히,23
승리하십시오,23
없네요,23
없을,23
여러,23
열,23
옆에서,23
올,23
월,23
이제명,23
입,23
있지만,23
자들,23
자신의,23
잘하십니다,23
정치는,23
중에,23
지도자,23
진짜로,23
차이로,23
충분히,23
탄핵으로,23
표를,23
회복하시길,23
각오로,22
같네요,22
개인,22
것으로,22
것처럼,22
고맙고,22
고문님,22
국회의원이,22
국힘은,22
그저,22
나라는,22
내일,22
너도,22
단식하는,22
답답합니다,22
당내,22
대법원장,22
더불어민주당입니다,22
데,22
등에,22
마지막,22
만드는,22
박살,22
법을,22
본인이,22
사람들은,22
사랑하는,22
살리고,22
승리하실,22
싹,22
안되는,22
안된다,22
압도적인,22
야당이,22
없다고,22
오늘은,22
웃는,22
의원님이,22
이대로,22
이제부터,22
이탄희,22
있는가,22
있음,22
정권에,22
좋겠다,22
주신,22
지금의,22
지지율,22
지지자들은,22
지치지,22
추미애,22
축하드려요,22
출마,22
하지말고,22
호남,22
회복하셔서,22
힘써주세요,22
간,21
감동입니다,21
걱정이,21
기각,21
나온다,21
당은,21
델리,21
듣기,21
따라,21
명이,21
목소리를,21
무시하는,21
뭉치면,21
반갑고,21
받은,21
발,21
병원에,21
보이지,21
뽑은,21
사실,21
사퇴해,21
살릴,21
생각하는,21
생각하면,21
세상을,21
수고가,21
싸우세요,21
쓰지,21
앉아서,21
없지,21
이럴,21
인간들이,21
있습니까,21
자기들,21
잘하셨어요,21
정,21
정상적인,21
좋을,21
지켜라,21
지켜주십시오,21
지킵시다,21
직접,21
칼,21
하기,21
하십니다,21
항쟁,21
ㅉㅉ,20
거죠,20
건강도,20
검찰의,20
것들이,20
결과,20
결과가,20
국회의원은,20
나중에,20
나타났다,20
남,20
너는,20
너희들은,20
놓고,20
단식에,20
되어야,20
뜻,20
만들고,20
많다,20
몸이,20
미리,20
민주주의가,20
박광온이,20
부결로,20
북,20
뿐입니다,20
생각을,20
생각하고,20
서,20
승리해야,20
아이고,20
아파,20
않나,20
완전히,20
용서,20
으로,20
의원님들은,20
이재명당대표님,20
이정섭,20
있을까,20
자기가,20
작은,20
잘못되면,20
장님,20
재미이,20
정권과,20
정의로운,20
정치적,20
지지하지,20
집단,20
찬성합니다,20
척,20
첫,20
탄핵해라,20
하신,20
화이팅하세요,20
MBC,19
가요,19
갈수록,19
강서구를,19
국회의원들은,19
국힘이,19
귀,19
그만해라,19
기본소득당,19
김용민,19
나가서,19
내로남불,19
낼,19
님들,19
다행입니다,19
답입니다,19
당무,19
당신을,19
대표님만,19
뒤에,19
드시고,19
들고,19
똑똑한,19
못해,19
문,19
민주시민,19
믿어요,19
받아,19
발전을,19
부결하라,19
불법,19
비명,19
사람으로서,19
사랑,19
삭감,19
선거에,19
세게,19
심판을,19
쓰는,19
양심,19
없다는,19
오랜만에,19
의,19
의원님의,19
이겨라,19
이깁시다,19
인재,19
있네요,19
장관이,19
주지,19
지키지,19
차려야,19
탄핵안,19
팀,19
평생,19
표결,19
하게,19
하시오,19
했다,19
행보,19
현명한,19
홍익표는,19
후보를,19
후쿠시마,19
힘들어,19
힘듭니다,19
감동,18
거고,18
건강하십시오,18
것인가,18
고발,18
과연,18
기운,18
나온,18
넘치는,18
는,18
달,18
당에서,18
당원들과,18
대장동,18
대통령을,18
대한민국은,18
더러운,18
되도록,18
되세요,18
되셔서,18
됨,18
땅,18
때입니다,18
떠들지,18
말할,18
망한다,18
매번,18
멈춰주세요,18
무엇을,18
뭐냐,18
뭐야,18
민주당의,18
보수,18
보여라,18
보여서,18
보자,18
부당한,18
빠르게,18
빼고,18
사과,18
사람도,18
사람으로,18
생각해,18
수고하십니다,18
수많은,18
쓰고,18
쓸데없는,18
아는데,18
아니야,18
아닌데,18
안돼,18
않나요,18
압니다,18
오염수,18
우리나라의,18
응원하는,18
응원하며,18
의원님도,18
의원들아,18
인물이,18
일해주세요,18
있다면,18
있어도,18
자주,18
잘하세요,18
잘하시고,18
정치인들,18
조금,18
좋아하는,18
지금부터,18
지켜보겠습니다,18
쳐,18
필요합니다,18
하며,18
한가위,18
했던,18
행동에,18
회복하시고,18
후보가,18
힘들다,18
같아서,17
거면,17
국가를,17
국감,17
나서서,17
나오세요,17
남아서,17
눈이,17
다를,17
단식으로,17
단식하고,17
대단한,17
더불어민주당만이,17
되기를,17
되나,17
뒤로,17
들어,17
듭니다,17
만약,17
매우,17
면,17
모조리,17
뭉치세요,17
받는,17
발의하라,17
벌써,17
봐야,17
빛나는,17
살아,17
소식,17
승리한다,17
실망,17
아예,17
안다,17
어쩔,17
언론개혁,17
없어서,17
오,17
오래,17
웃고,17
원칙과,17
위대한,17
위원님들,17
유튜브,17
의원을,17
이번에는,17
이재명으로,17
자가,17
잘가라,17
잘할,17
재판,17
전액,17
정부는,17
죄송합니다,17
중단하세요,17
중단하십시오,17
지겹다,17
지지율이,17
지켜볼,17
진보,17
진심이,17
진짜가,17
챙겨주세요,17
하루속히,17
하여,17
한다면,17
행동해라,17
현수막,17
혹시,17
후보자님,17
힘냅시다,17
^^,16
강,16
강미정,16
거대,16
건강하십시요,16
것들은,16
것에,16
고민정도,16
권력을,16
그것이,16
그렇지,16
기쁩니다,16
깊이,16
꺼져,16
꼼수,16
끝날,16
나게,16
나라로,16
나를,16
놀고,16
능력이,16
니가,16
다음에,16
단식하지,16
당당히,16
대신,16
더이상,16
덕분에,16
동의,16
되게,16
되실,16
둘,16
따로,16
때도,16
또는,16
뜨고,16
리더,16
마나,16
막아야,16
많은데,16
말입니다,16
맞아요,16
뭉쳐라,16
민심을,16
바짝,16
박범계,16
반듯이,16
받지,16
별로,16
보네,16
보면서,16
분들이,16
뽑아,16
사건,16
사랑해,16
사이다,16
사진,16
살려야,16
생각하지,16
서열이,16
선거에서,16
선택,16
세상이,16
손에,16
순간,16
승리의,16
시키고,16
싸웁시다,16
아프네요,16
앉아,16
알아야,16
앞장서,16
에,16
옛날,16
온갖,16
용기,16
원내지도부,16
위하는,16
의원들도,16
의원의,16
이낙연은,16
이재명대표,16
이후,16
인간들은,16
인간은,16
잘못,16
전쟁,16
점점,16
정도,16
정부가,16
주민,16
주시는,16
죽는다,16
즉각,16
즐거운,16
지키면,16
지킬,16
진교훈이,16
진정으로,16
짐,16
찍어,16
차고,16
체제로,16
통해,16
특활비,16
피해,16
하늘이,16
하다,16
하셔서,16
한다는,16
한창인,16
했냐,16
행동은,16
행동하세요,16
행동하지,16
현재,16
환영,16
횡재세,16
5선,15
ㅜ,15
가결한,15
가만,15
가시는,15
강서구에,15
거임,15
건강관리,15
검사들,15
것인지,15
계,15
계시는,15
국방부장관,15
기득권,15
기회를,15
김남국,15
나가면,15
나오지,15
나올,15
나은,15
날까지,15
내려와라,15
당선되셔서,15
당원은,15
대표님도,15
대표에게,15
데리고,15
되는데,15
들어서,15
들은,15
땜에,15
뚜껑,15
룬,15
많아,15
말아,15
말아라,15
말한,15
맘대로,15
맘에,15
먹은,15
못한다,15
뭐하나,15
미래,15
밀어,15
바라보고,15
밥그릇,15
범죄자가,15
보이네요,15
복귀,15
본인의,15
부산,15
분위기,15
살아야,15
상식,15
세웁시다,15
손을,15
손잡고,15
수밖에,15
승리가,15
시켜주세요,15
싸워주십시오,15
안녕하세요,15
알게,15
없나,15
염려됩니다,15
예산을,15
와우,15
윤석열과,15
의미,15
의미가,15
이유는,15
이유를,15
이재명대통령,15
일부,15
일할,15
